"TimeCreated","Id","LevelDisplayName","Message"
"11-10-2025 11:17:08 AM","32","Information","Plugin RDSAppXPlugin has been successfully initialized"
"10-10-2025 07:38:39 PM","54","Information","Local multi-user session manager received system shutdown message"
"10-10-2025 07:38:39 PM","23","Information","Remote Desktop Services: Session logoff succeeded:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1"
"10-10-2025 11:05:50 AM","22","Information","Remote Desktop Services: Shell start notification received:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1
Source Network Address: LOCAL"
"10-10-2025 11:05:50 AM","21","Information","Remote Desktop Services: Session logon succeeded:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1
Source Network Address: LOCAL"
"10-10-2025 11:05:50 AM","42","Information","End session arbitration:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1"
"10-10-2025 11:05:50 AM","41","Information","Begin session arbitration:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1"
"10-10-2025 11:05:41 AM","32","Information","Plugin RDSAppXPlugin has been successfully initialized"
"09-10-2025 11:07:27 AM","22","Information","Remote Desktop Services: Shell start notification received:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1
Source Network Address: LOCAL"
"09-10-2025 11:07:27 AM","21","Information","Remote Desktop Services: Session logon succeeded:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1
Source Network Address: LOCAL"
"09-10-2025 11:07:27 AM","42","Information","End session arbitration:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1"
"09-10-2025 11:07:27 AM","41","Information","Begin session arbitration:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1"
"09-10-2025 11:05:48 AM","32","Information","Plugin RDSAppXPlugin has been successfully initialized"
"08-10-2025 11:11:09 AM","22","Information","Remote Desktop Services: Shell start notification received:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1
Source Network Address: LOCAL"
"08-10-2025 11:11:09 AM","21","Information","Remote Desktop Services: Session logon succeeded:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1
Source Network Address: LOCAL"
"08-10-2025 11:11:09 AM","42","Information","End session arbitration:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1"
"08-10-2025 11:11:09 AM","41","Information","Begin session arbitration:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1"
"08-10-2025 11:11:03 AM","32","Information","Plugin RDSAppXPlugin has been successfully initialized"
"07-10-2025 01:40:57 PM","22","Information","Remote Desktop Services: Shell start notification received:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1
Source Network Address: LOCAL"
"07-10-2025 01:40:57 PM","21","Information","Remote Desktop Services: Session logon succeeded:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1
Source Network Address: LOCAL"
"07-10-2025 01:40:57 PM","42","Information","End session arbitration:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1"
"07-10-2025 01:40:57 PM","41","Information","Begin session arbitration:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1"
"07-10-2025 01:40:51 PM","32","Information","Plugin RDSAppXPlugin has been successfully initialized"
"07-10-2025 01:40:24 PM","54","Information","Local multi-user session manager received system shutdown message"
"07-10-2025 01:40:24 PM","23","Information","Remote Desktop Services: Session logoff succeeded:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1"
"07-10-2025 11:20:06 AM","22","Information","Remote Desktop Services: Shell start notification received:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1
Source Network Address: LOCAL"
"07-10-2025 11:20:06 AM","21","Information","Remote Desktop Services: Session logon succeeded:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1
Source Network Address: LOCAL"
"07-10-2025 11:20:06 AM","42","Information","End session arbitration:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1"
"07-10-2025 11:20:06 AM","41","Information","Begin session arbitration:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1"
"07-10-2025 11:19:58 AM","32","Information","Plugin RDSAppXPlugin has been successfully initialized"
"06-10-2025 11:26:45 AM","22","Information","Remote Desktop Services: Shell start notification received:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1
Source Network Address: LOCAL"
"06-10-2025 11:26:45 AM","21","Information","Remote Desktop Services: Session logon succeeded:

User: DESKOFSKYCRAWLE\Dell
Session ID: 1
Source Network Address: LOCAL"
