"Browser","Profile","ExtensionId","Name","Version"
"Chrome","Profile 14","efaidnbmnnnibpcajpcglclefindmkaj","__MSG_web2pdfExtnName__","25.8.2.2"
"Chrome","Profile 14","ghbmnnjooekpmoecnnnilnnbdlolhkhi","__MSG_extName__","1.95.1"
"Chrome","Profile 14","kbfnbcaeplbcioakkpcpgfkobkghlhen","Grammarly: AI Writing Assistant and Grammar Checker App","14.1259.0"
"Chrome","Profile 14","ljglajjnnkapghbckkcmodicjhacbfhk","__MSG_appName__","2.55.0.31"
"Chrome","Profile 14","nmmhkkegccagdldgiimedpiccmgmieda","__MSG_APP_NAME__","1.0.0.6"
"Chrome","Profile 14","pfaniejaodapjoapbebeolmpngaaiimj","__MSG_name__","2.0.0"
"Chrome","Profile 14","plbgdpcficmecmpjceogkfmdgfdjedfm","MergeMail","1.5.2"
