"Browser","Profile","ExtensionId","Name","Version"
"Chrome","Default","ghbmnnjooekpmoecnnnilnnbdlolhkhi","__MSG_extName__","1.97.1"
"Chrome","Default","nmmhkkegccagdldgiimedpiccmgmieda","__MSG_APP_NAME__","1.0.0.6"
