"Name","DisplayName","Enabled","Action","Direction","Profile","Program"
"CoreNet-ICMP6-LR2-Out","Core Networking - Multicast Listener Report v2 (ICMPv6-Out)","True","Allow","Outbound","Any",
"CoreNet-Diag-ICMP6-EchoRequest-Out","Core Networking Diagnostics - ICMP Echo Request (ICMPv6-Out)","False","Allow","Outbound","Private, Public",
"EventForwarder-In-TCP","Remote Event Monitor (RPC)","False","Allow","Inbound","Any",
"NVS-FrameServer-In-UDP-NoScope","Microsoft Media Foundation Network Source IN [UDP 5004-5009]","True","Allow","Inbound","Any",
"Microsoft-Windows-Enrollment-WinRT-TCP-Out","Windows Device Management Enrollment Service (TCP out)","True","Allow","Outbound","Any",
"SNMPTRAP-In-UDP-NoScope","SNMP Trap Service (UDP In)","False","Allow","Inbound","Domain",
"WMI-ASYNC-In-TCP","Windows Management Instrumentation (ASync-In)","False","Allow","Inbound","Private, Public",
"CoreNet-Diag-ICMP4-EchoRequest-Out-NoScope","Core Networking Diagnostics - ICMP Echo Request (ICMPv4-Out)","False","Allow","Outbound","Domain",
"MDNS-Out-UDP-Public-Active","mDNS (UDP-Out)","True","Allow","Outbound","Public",
"WMI-WINMGMT-In-TCP","Windows Management Instrumentation (WMI-In)","False","Allow","Inbound","Private, Public",
"RemoteFwAdmin-RPCSS-In-TCP","Windows Defender Firewall Remote Management (RPC-EPMAP)","False","Allow","Inbound","Private, Public",
"PerfLogsAlerts-PLASrv-In-TCP","Performance Logs and Alerts (TCP-In)","False","Allow","Inbound","Private, Public",
"WINRM-HTTP-In-TCP","Windows Remote Management (HTTP-In)","False","Allow","Inbound","Public",
"DeliveryOptimization-TCP-In","Delivery Optimization (TCP-In)","True","Allow","Inbound","Any",
"MSDTC-Out-TCP-NoScope","Distributed Transaction Coordinator (TCP-Out)","False","Allow","Outbound","Domain",
"NETDIS-NB_Name-In-UDP","Network Discovery (NB-Name-In)","True","Allow","Inbound","Public",
"vm-monitoring-rpc","Virtual Machine Monitoring (RPC)","False","Allow","Inbound","Any",
"CoreNet-ICMP6-LD-Out","Core Networking - Multicast Listener Done (ICMPv6-Out)","True","Allow","Outbound","Any",
"Microsoft-Windows-DeviceManagement-CertificateInstall-TCP-Out","Windows Device Management Certificate Installer (TCP out)","True","Allow","Outbound","Any",
"MsiScsi-In-TCP","iSCSI Service (TCP-In)","False","Allow","Inbound","Private, Public",
"RemoteAssistance-PnrpSvc-UDP-In-EdgeScope","Remote Assistance (PNRP-In)","False","Allow","Inbound","Public",
"RRAS-PPTP-In-TCP","Routing and Remote Access (PPTP-In)","False","Allow","Inbound","Any",
"CoreNet-Teredo-Out","Core Networking - Teredo (UDP-Out)","True","Allow","Outbound","Any",
"RVM-VDS-In-TCP","Remote Volume Management - Virtual Disk Service (RPC)","False","Allow","Inbound","Private, Public",
"TPMVSCMGR-Server-In-TCP-NoScope","TPM Virtual Smart Card Management (TCP-In)","False","Allow","Inbound","Domain",
"WMI-WINMGMT-Out-TCP","Windows Management Instrumentation (WMI-Out)","False","Allow","Outbound","Private, Public",
"NETDIS-NB_Datagram-In-UDP-NoScope","Network Discovery (NB-Datagram-In)","False","Allow","Inbound","Domain",
"vm-monitoring-dcom","Virtual Machine Monitoring (DCOM-In)","False","Allow","Inbound","Any",
"CoreNet-ICMP6-RS-In","Core Networking - Router Solicitation (ICMPv6-In)","True","Allow","Inbound","Any",
"WMI-RPCSS-In-TCP","Windows Management Instrumentation (DCOM-In)","False","Allow","Inbound","Private, Public",
"WirelessDisplay-Infra-In-TCP","Wireless Display Infrastructure Back Channel (TCP-In)","True","Allow","Inbound","Any",
"PNRPMNRS-SSDPSrv-Out-UDP","Windows Collaboration Computer Name Registration Service (SSDP-Out)","False","Allow","Outbound","Any",
"NETDIS-FDRESPUB-WSD-In-UDP-Active","Network Discovery (Pub-WSD-In)","True","Allow","Inbound","Private",
"NETDIS-WSDEVNTS-Out-TCP","Network Discovery (WSD EventsSecure-Out)","True","Allow","Outbound","Public",
"CoreNet-GP-LSASS-Out-TCP","Core Networking - Group Policy (LSASS-Out)","True","Allow","Outbound","Domain",
"Microsoft-Windows-Troubleshooting-HTTP-HTTPS-Out","Recommended Troubleshooting Client (HTTP/HTTPS Out)","True","Allow","Outbound","Any",
"RemoteTask-RPCSS-In-TCP-NoScope","Remote Scheduled Tasks Management (RPC-EPMAP)","False","Allow","Inbound","Domain",
"RemoteAssistance-PnrpSvc-UDP-In-EdgeScope-Active","Remote Assistance (PNRP-In)","True","Allow","Inbound","Domain, Private",
"NETDIS-UPnPHost-Out-TCP-NoScope","Network Discovery (UPnP-Out)","False","Allow","Outbound","Domain",
"Collab-PNRP-In-UDP","Windows Peer to Peer Collaboration Foundation (PNRP-In)","False","Allow","Inbound","Any",
"DIAL-Protocol-Server-In-TCP-NoScope","DIAL protocol server (HTTP-In)","True","Allow","Inbound","Domain",
"NETDIS-WSDEVNT-In-TCP-NoScope","Network Discovery (WSD Events-In)","False","Allow","Inbound","Domain",
"RemoteSvcAdmin-RPCSS-In-TCP-NoScope","Remote Service Management (RPC-EPMAP)","False","Allow","Inbound","Domain",
"WMI-ASYNC-In-TCP-NoScope","Windows Management Instrumentation (ASync-In)","False","Allow","Inbound","Domain",
"NETDIS-WSDEVNT-Out-TCP-NoScope","Network Discovery (WSD Events-Out)","False","Allow","Outbound","Domain",
"NETDIS-FDRESPUB-WSD-Out-UDP-Active","Network Discovery (Pub WSD-Out)","True","Allow","Outbound","Private",
"NETDIS-LLMNR-Out-UDP","Network Discovery (LLMNR-UDP-Out)","False","Allow","Outbound","Domain",
"vm-monitoring-nb-session","Virtual Machine Monitoring (NB-Session-In)","False","Allow","Inbound","Any",
"RemoteFwAdmin-In-TCP-NoScope","Windows Defender Firewall Remote Management (RPC)","False","Allow","Inbound","Domain",
"WirelessDisplay-Out-TCP","Wireless Display (TCP-Out)","True","Allow","Outbound","Any",
"WirelessDisplay-Out-UDP","Wireless Display (UDP-Out)","True","Allow","Outbound","Any",
"RemoteAssistance-RAServer-Out-TCP-NoScope-Active","Remote Assistance (RA Server TCP-Out)","True","Allow","Outbound","Domain",
"CoreNet-ICMP6-RA-Out","Core Networking - Router Advertisement (ICMPv6-Out)","True","Allow","Outbound","Any",
"Collab-P2PHost-Out-TCP","Windows Peer to Peer Collaboration Foundation (TCP-Out)","False","Allow","Outbound","Any",
"NETDIS-WSDEVNTS-In-TCP-NoScope","Network Discovery (WSD EventsSecure-In)","False","Allow","Inbound","Domain",
"CoreNet-ICMP6-NDA-In","Core Networking - Neighbor Discovery Advertisement (ICMPv6-In)","True","Allow","Inbound","Any",
"CoreNet-IPHTTPS-Out","Core Networking - IPHTTPS (TCP-Out)","True","Allow","Outbound","Any",
"NVS-FrameServer-In-TCP-NoScope","Microsoft Media Foundation Network Source IN [TCP 554]","True","Allow","Inbound","Any",
"NETDIS-SSDPSrv-In-UDP","Network Discovery (SSDP-In)","False","Allow","Inbound","Domain",
"RemoteSvcAdmin-In-TCP","Remote Service Management (RPC)","False","Allow","Inbound","Private, Public",
"RemoteSvcAdmin-RPCSS-In-TCP","Remote Service Management (RPC-EPMAP)","False","Allow","Inbound","Private, Public",
"CoreNet-IGMP-Out","Core Networking - Internet Group Management Protocol (IGMP-Out)","True","Allow","Outbound","Any",
"WINRM-HTTP-Compat-In-TCP","Windows Remote Management - Compatibility Mode (HTTP-In)","False","Allow","Inbound","Private, Public",
"NETDIS-DAS-In-UDP","Network Discovery (WSD-In)","False","Allow","Inbound","Domain",
"Collab-P2PHost-WSD-Out-UDP","Windows Peer to Peer Collaboration Foundation (WSD-Out)","False","Allow","Outbound","Any",
"MsiScsi-In-TCP-NoScope","iSCSI Service (TCP-In)","False","Allow","Inbound","Domain",
"NETDIS-NB_Name-In-UDP-Active","Network Discovery (NB-Name-In)","True","Allow","Inbound","Private",
"CoreNet-ICMP6-PP-In","Core Networking - Parameter Problem (ICMPv6-In)","True","Allow","Inbound","Any",
"CoreNet-DNS-Out-UDP","Core Networking - DNS (UDP-Out)","True","Allow","Outbound","Any",
"NETDIS-NB_Datagram-Out-UDP-Active","Network Discovery (NB-Datagram-Out)","True","Allow","Outbound","Private",
"NETDIS-NB_Datagram-In-UDP","Network Discovery (NB-Datagram-In)","True","Allow","Inbound","Public",
"RemoteSvcAdmin-NP-In-TCP-NoScope","Remote Service Management (NP-In)","False","Allow","Inbound","Domain",
"CoreNet-Teredo-In","Core Networking - Teredo (UDP-In)","True","Allow","Inbound","Any",
