"Browser","Profile","ExtensionId","Name","Version"
"Chrome","Profile 8","efaidnbmnnnibpcajpcglclefindmkaj","__MSG_web2pdfExtnName__","25.10.1.0"
"Chrome","Profile 8","ghbmnnjooekpmoecnnnilnnbdlolhkhi","__MSG_extName__","1.97.1"
"Chrome","Profile 8","jgocjgkdladclacgmkkiklmdcmngjcba","GPT Workspace","4.10.0"
"Chrome","Profile 8","ljglajjnnkapghbckkcmodicjhacbfhk","__MSG_appName__","2.55.0.31"
"Chrome","Profile 8","nmmhkkegccagdldgiimedpiccmgmieda","__MSG_APP_NAME__","1.0.0.6"
"Chrome","Profile 8","oepeoapnglgelaocjjikaafoilefbanf","__MSG_appName__","1.1.5"
